,airport_code,city_name,avg_daily_flights,percent_delayed,num_unique_airlines,unique_airlines,mean_dep_delay,std_dep_delay
26,AZO,"Kalamazoo, MI",2.6740331491712706,24.999999999999996,1,['OO'],12.326446280991735,85.7013257117578
80,CSG,"Columbus, GA",2.6198347107438016,22.39747634069401,2,"['9E', 'OO']",5.400630914826499,72.85263693553891
134,GRI,"Grand Island, NE",2.6022099447513813,40.12738853503185,2,"['G4', 'OO']",24.414012738853504,113.91619042753872
189,LCK,"Columbus, OH",2.5985401459854014,41.573033707865164,1,['G4'],14.710674157303371,84.61780186688651
45,BQK,"Brunswick, GA",2.5081967213114753,21.895424836601308,2,"['9E', 'OO']",14.297385620915033,87.94640577206428
222,MQT,"Marquette, MI",2.4916201117318435,26.457399103139014,2,"['MQ', 'OO']",17.800448430493272,81.97008552604282
336,USA,"Concord, NC",2.425196850393701,45.45454545454545,1,['G4'],29.334415584415584,80.74604406753541
244,PBG,"Plattsburgh, NY",2.408695652173913,34.65703971119134,1,['G4'],10.584837545126353,90.92031979637822
338,VLD,"Valdosta, GA",2.406779661016949,23.59154929577465,1,['9E'],17.390845070422536,75.77830824646823
4,ABY,"Albany, GA",2.3850574712643677,20.240963855421686,2,"['9E', 'OO']",13.440963855421687,100.1133452282389
92,DHN,"Dothan, AL",2.2644628099173554,14.963503649635037,2,"['9E', 'OO']",7.817518248175182,91.68409842737759
321,SWF,"Newburgh/Poughkeepsie, NY",2.172727272727273,30.962343096234306,1,['G4'],13.640167364016737,85.92661160248592
74,COD,"Cody, WY",2.135593220338983,36.77248677248677,1,['OO'],29.552910052910054,101.81430334444387
10,ADQ,"Kodiak, AK",2.1235955056179776,24.603174603174605,1,['AS'],-6.6878306878306875,71.50072181604384
292,SCK,"Stockton, CA",2.0416666666666665,63.26530612244899,1,['G4'],34.522448979591836,85.76662785136371
273,RHI,"Rhinelander, WI",2.016574585635359,15.890410958904111,1,['OO'],15.972602739726028,117.7339350701752
15,ALW,"Walla Walla, WA",2.0,18.333333333333332,1,['OO'],-15.716666666666667,43.51703023994117
140,GTR,"Columbus, MS",1.9918032786885247,11.111111111111109,1,['9E'],-16.53497942386831,45.680278249706944
82,CWA,"Mosinee, WI",1.9836065573770492,17.768595041322314,1,['9E'],-5.892561983471074,68.79843692773449
3,ABR,"Aberdeen, SD",1.9833333333333334,22.969187675070028,1,['OO'],33.675070028011206,134.5002016217867
142,GUM,"Guam, TT",1.9833333333333334,26.05042016806723,1,['UA'],-20.535014005602243,49.08067230765234
299,SHR,"Sheridan, WY",1.9832402234636872,15.492957746478872,1,['OO'],6.445070422535212,101.56300650631792
275,RIW,"Riverton/Lander, WY",1.9776536312849162,19.491525423728813,1,['OO'],22.646892655367232,126.9564943169138
259,PRC,"Prescott, AZ",1.9723756906077348,24.649859943977592,1,['OO'],16.80952380952381,79.23069444823854
37,BJI,"Bemidji, MN",1.9668508287292819,22.191011235955056,1,['OO'],28.497191011235955,121.86477147764494
276,RKS,"Rock Springs, WY",1.9668508287292819,24.719101123595504,1,['OO'],20.126404494382022,111.80810159612263
28,BET,"Bethel, AK",1.9662921348314606,36.85714285714286,1,['AS'],9.802857142857142,43.07943609383617
320,SUX,"Sioux City, IA",1.9613259668508287,25.35211267605634,1,['OO'],20.67042253521127,109.25048241547054
163,IMT,"Iron Mountain/Kingsfd, MI",1.961111111111111,24.07932011331445,1,['OO'],20.937677053824363,99.88238294613157
306,SLN,"Salina, KS",1.9606741573033708,21.48997134670487,1,['OO'],17.24641833810888,103.65103378482809
167,ITH,"Ithaca/Cortland, NY",1.959016393442623,9.623430962343097,1,['9E'],-11.94560669456067,82.26198905973007
149,HOB,"Hobbs, NM",1.9553072625698324,30.57142857142857,1,['OO'],17.02,116.27362328911649
340,WRG,"Wrangell, AK",1.9548022598870056,20.23121387283237,1,['AS'],-15.624277456647398,43.872845124649594
